Journal Name,Publisher,ISSN,Impact Factor (2013),Quartile Rank,Category,Country (ISO 3166-1 alpha-2),Has Wikipedia Page?
Living Reviews in Relativity,Max-Planck Institute for Gravitational,1433-8351,16.526,1,"PHYSICS, PARTICLES & FIELDS",DE,yes
Molecular Systems Biology,European Molecular Biology Organiza,1744-4292,14.099,1,"BIOCHEMISTRY & MOLECULAR B,,",UK,yes
Living Reviews in Solar Physics,Max Planck Institute for Solar System,1614-4961,11.833,1,ASTRONOMY & ASTROPHYSICS,DE,yes
Materials Today,Elsevier,1369-7021,10.85,1,"MATERIALS SCIENCE, MULTIDISC,,",UK,yes
Studies in Mycology,Centraalbureau voor Schimmelcultur,0166-0616,9.296,1,MYCOLOGY,NL,no
Nucleic Acids Research,Oxford University Press,0305-1048,8.808,1,"BIOCHEMISTRY & MOLECULAR B  , ",UK,yes
eLife,eLife Sciences Publications Ltd,2050-084X,8.519,1,BIOLOGY,UK,yes
Physical Review X,American Physical Society,2160-3308,8.463,1,"PHYSICS, MULITDISCIPLINARY",US,yes
EMBO Molecular Medicine,Wiley,1757-4676,8.245,1,"MEDICINE, RESEARCH & EXPERI",DE,no
Theranostics,Ivyspring International Publisher,1838-7640,7.827,1,"MEDICINE, RESEARCH & EXPERI",AU,no
Journal of Psychiatry and Neuroscience,Canadian Medical Association,1180-4882,7.492,1,NEUROSCIENCES,CA,no
BMC Biology,BioMed Central,1741-7007,7.431,1,BIOLOGY,UK,yes
Emerging Infectious Diseases,Centers for Disease Control and Prev,1080-6040,7.327,1,INFECTIOUS DISEASES,US,yes
BMC Medicine,BioMed Central,1741-7015,7.276,1,"MEDICINE, GENERAL & INTERNA , ",UK,yes
Cell Reports,Elsevier,2211-1247,7.207,1,CELL BIOLOGY,US,yes
Environmental Health Perspectives,The National Institute of Environmen,0091-6765,7.029,1,"PUBLIC, ENVIRONMENTAL & OC",US,yes
Particle and Fibre Toxicology,BioMed Central,1743-8977,6.987,1,TOXICOLOGY,UK,no
mBio,American Society for Microbiology,2150-7511,6.875,1,MICROBIOLOGY,US,yes
Bulletin of the American Museum of Natural,American Museum of Natural History,0003-0090,6.64,1,ECOLOGY,US,yes
Biotechnology for Biofuels,BioMed Central,1754-6834,6.221,1,BIOTECHNOLOGY & APPLIED MI,UK,no
Clinical Epigenetics,BioMed Central,1868-7083,6.219,1,ONCOLOGY,UK,no
Geoscientific Model Development,Copernicus Publications,1991-959X,6.086,1,"GEOSCIENCES, MULITDISCIPLINARYA     G ",DE,yes
Current Issues in Molecular Biology,Horizon Scientific Press,1467-3037,6,1,BIOCHEMICAL RESEARCH METH,UK,yes
Aging Cell,Wiley,1474-9718,5.939,1,GERIATRICS & GERONTOLOGY,UK ,yes
Haematologica,Ferrata Storti Foundation,0390-6078,5.868,1,HEMATOLOGY,IT,yes
Disease Models & Mechanisms,Company of Biologists,1754-8403,5.537,1,PATHOLOGY,UK,yes
Molecular Autism,BioMed Central,2040-2392,5.486,1,NEUROSCIENCES,UK,yes
Neoplasia : An International Journal for Oncology,Elsevier,1522-8002,5.398,1,ONCOLOGY,US,yes
Molecular Cancer,BioMed Central,1476-4598,5.397,1,ONCOLOGY,UK,no
Atmospheric Chemistry and Physics,Copernicus Publications,1680-7316,5.298,1,METEOROLOGY & ATMOSPHERI,DE,yes
Molecular Neurodegeneration,BioMed Central,1750-1326,5.286,1,NEUROSCIENCES,UK,yes
Journal of Advances in Modeling Earth Systems,American Geophysical Union (AGU),1942-2466,5.149,1,METEOROLOGY & ATMOSPHERI,US,no
Bulletin of the World Health Organization,World Health Organization,0042-9686,5.112,1,"PUBLIC, ENVIRONMENTAL & OC",CH,yes
Journal of Cardiovascular Magnetic Resonanc ,BioMed Central,1097-6647,5.112,1,"RADIOLOGY, NUCLEAR MEDICIN",UK,no
Scientific Reports,Nature Publishing Group,2045-2322,5.078,1,MULITDISCIPLINARY SCIENCES,UK,yes
DNA Research,Oxford University Press,1340-2838,4.975,1,GENETICS & HEREDITY,UK,yes
Journal of Hematology & Oncology,BioMed Central,1756-8722,4.933,1,HEMATOLOGY,UK,no
Journal of Neuroinflammation,BioMed Central,1742-2094,4.902,1,NEUROSCIENCES,UK,yes
European Cells and Materials (ECM),European Cells & Materials Ltd,1473-2262,4.887,1,CELL & TISSUE ENGINEERING,CH,no
Molecular Medicine,The Feinstein Institute for Medical Re,1076-1551,4.824,1,"BIOCHEMISTRY & MOLECULAR B,,",US,yes
Retrovirology,BioMed Central,1742-4690,4.767,1,VIROLOGY,UK,yes
Pain Physician,American Society of Interventional Pa,1533-3159,4.766,1,CLINICAL NEUROLOGY,US,no
Journal of Medical Internet Research,JMIR Publications,1438-8871,4.669,1,HEALTH CARE SCIENCES & SERVI ,CA,yes
Eurosurveillance,European Centre for Disease Preventi,1560-7917,4.659,1,INFECTIOUS DISEASES,SE,yes
Annals of Family Medicine,HighWire,1544-1709,4.57,1,"MEDICINE, GENERAL & INTERNA ",US,yes
Evolutionary Applications,Wiley,1752-4571,4.569,1,EVOLUTIONARY BIOLOGY,UK,no
Open Biology,The Royal Society,2046-2441,4.556,1,"BIOCHEMISTRY & MOLECULAR B ,  ",UK,yes
Journal of Cheminformatics,BioMed Central,1758-2946,4.54,1,"COMPUTER SCIENCE, INTERDISC ",UK,yes
Genome Biology and Evolution,Oxford University Press,1759-6653,4.532,1,EVOLUTIONARY BIOLOGY,UK,no
Epigenetics & Chromatin,BioMed Central,1756-8935,4.462,1,GENETICS & HEREDITY,UK,no
Database : the Journal of Biological Database,Oxford University Press,1758-0463,4.457,1,MATHEMATICAL & COMPUTATI,UK,yes
